ID,Pred
2014_1107_1110,0.3500035
2014_1107_1112,0.026389303
2014_1107_1113,0.143299
2014_1107_1124,0.046830013
2014_1107_1140,0.1453304
2014_1107_1142,0.41189113
2014_1107_1153,0.023861699
2014_1107_1157,0.37889445
2014_1107_1160,0.10438755
2014_1107_1163,0.03915334
2014_1107_1166,0.09080566
2014_1107_1173,0.074812986
2014_1107_1174,0.07299342
2014_1107_1181,0.02446622
2014_1107_1184,0.36099064
2014_1107_1196,0.025897024
2014_1107_1203,0.101709016
2014_1107_1211,0.067997284
2014_1107_1217,0.1062148
2014_1107_1234,0.11233845
2014_1107_1235,0.084224656
2014_1107_1242,0.0487664
2014_1107_1243,0.13907069
2014_1107_1246,0.034712426
2014_1107_1257,0.024296187
2014_1107_1264,0.12075989
2014_1107_1269,0.048802502
2014_1107_1272,0.1053024
2014_1107_1273,0.16747433
2014_1107_1276,0.050706513
2014_1107_1277,0.0422881
2014_1107_1291,0.25648573
2014_1107_1295,0.10575138
2014_1107_1300,0.17180417
2014_1107_1301,0.09720784
2014_1107_1304,0.10921261
2014_1107_1307,0.08416068
2014_1107_1308,0.1315121
2014_1107_1314,0.061435185
2014_1107_1326,0.052668348
2014_1107_1328,0.043790758
2014_1107_1329,0.10418693
2014_1107_1332,0.050968397
2014_1107_1338,0.07031123
2014_1107_1344,0.064673126
2014_1107_1361,0.01815816
2014_1107_1372,0.06031502
2014_1107_1386,0.14715135
2014_1107_1387,0.055897832
2014_1107_1390,0.105941646
2014_1107_1393,0.02688255
2014_1107_1397,0.051639743
2014_1107_1400,0.054336056
2014_1107_1409,0.12863165
2014_1107_1411,0.58108544
2014_1107_1417,0.082370505
2014_1107_1418,0.12518647
2014_1107_1433,0.018133337
2014_1107_1437,0.04913014
2014_1107_1438,0.041619197
2014_1107_1444,0.16124757
2014_1107_1451,0.44309697
2014_1107_1454,0.38107195
2014_1107_1455,0.02401596
2014_1107_1458,0.044043656
2014_1107_1459,0.37148076
2014_1107_1462,0.2014959
2014_1110_1112,0.04779594
2014_1110_1113,0.27153295
2014_1110_1124,0.079272255
2014_1110_1140,0.273787
2014_1110_1142,0.5471586
2014_1110_1153,0.041714847
2014_1110_1157,0.5849821
2014_1110_1160,0.20444733
2014_1110_1163,0.071746305
2014_1110_1166,0.14776753
2014_1110_1173,0.14196502
2014_1110_1174,0.1437808
2014_1110_1181,0.038729113
2014_1110_1184,0.55082583
2014_1110_1196,0.046298914
