ID,Pred
2019_1101_1113,0.36522108
2019_1101_1120,0.053128988
2019_1101_1124,0.15134306
2019_1101_1125,0.28619364
2019_1101_1133,0.73217696
2019_1101_1138,0.08313929
2019_1101_1153,0.08187037
2019_1101_1159,0.5644906
2019_1101_1181,0.048232514
2019_1101_1192,0.8097774
2019_1101_1196,0.09253908
2019_1101_1199,0.055298556
2019_1101_1205,0.8068985
2019_1101_1209,0.5129709
2019_1101_1211,0.0845447
2019_1101_1222,0.0423598
2019_1101_1233,0.83136564
2019_1101_1234,0.31481418
2019_1101_1235,0.07752577
2019_1101_1242,0.08366359
2019_1101_1243,0.091566734
2019_1101_1246,0.07036914
2019_1101_1251,0.23007149
2019_1101_1257,0.076697946
2019_1101_1261,0.06567495
2019_1101_1266,0.08434481
2019_1101_1268,0.08664311
2019_1101_1276,0.049192004
2019_1101_1277,0.07448395
2019_1101_1278,0.35253286
2019_1101_1279,0.13078198
2019_1101_1280,0.06815482
2019_1101_1285,0.57880485
2019_1101_1293,0.1567425
2019_1101_1295,0.83869153
2019_1101_1297,0.46199828
2019_1101_1300,0.88454944
2019_1101_1305,0.14725871
2019_1101_1308,0.15574093
2019_1101_1314,0.0994208
2019_1101_1318,0.40059456
2019_1101_1326,0.31485724
2019_1101_1328,0.2885456
2019_1101_1330,0.36248374
2019_1101_1332,0.1419852
2019_1101_1341,0.8673123
2019_1101_1345,0.04906071
2019_1101_1371,0.23171964
2019_1101_1385,0.40159935
2019_1101_1387,0.53350395
2019_1101_1388,0.14377694
2019_1101_1393,0.18627104
2019_1101_1396,0.2973097
2019_1101_1397,0.07901761
2019_1101_1403,0.06077708
2019_1101_1414,0.21124338
2019_1101_1416,0.19620381
2019_1101_1429,0.1808618
2019_1101_1433,0.10841298
2019_1101_1436,0.31388205
2019_1101_1437,0.07508202
2019_1101_1438,0.05188194
2019_1101_1439,0.08094575
2019_1101_1449,0.12568504
2019_1101_1458,0.07101199
2019_1101_1459,0.079385504
2019_1101_1463,0.5048091
2019_1113_1120,0.09773897
2019_1113_1124,0.28919894
2019_1113_1125,0.46886405
2019_1113_1133,0.82247055
2019_1113_1138,0.19721623
2019_1113_1153,0.18318143
2019_1113_1159,0.7430687
2019_1113_1181,0.1052712
2019_1113_1192,0.8879579
2019_1113_1196,0.1827217
2019_1113_1199,0.13321067
2019_1113_1205,0.87969804
2019_1113_1209,0.7051693
2019_1113_1211,0.14289793
2019_1113_1222,0.08519822
2019_1113_1233,0.8849256
2019_1113_1234,0.5238116
2019_1113_1235,0.1604059
2019_1113_1242,0.21811621
2019_1113_1243,0.19137003
