ID,Pred
2019_1101_1113,0.33774406
2019_1101_1120,0.049304545
2019_1101_1124,0.1308449
2019_1101_1125,0.23430282
2019_1101_1133,0.7159963
2019_1101_1138,0.07889236
2019_1101_1153,0.10774038
2019_1101_1159,0.55585045
2019_1101_1181,0.05488186
2019_1101_1192,0.80797416
2019_1101_1196,0.08742629
2019_1101_1199,0.06511399
2019_1101_1205,0.7901394
2019_1101_1209,0.4712202
2019_1101_1211,0.067302845
2019_1101_1222,0.038140107
2019_1101_1233,0.82868373
2019_1101_1234,0.27905726
2019_1101_1235,0.077700384
2019_1101_1242,0.10128104
2019_1101_1243,0.10351639
2019_1101_1246,0.10185331
2019_1101_1251,0.18946536
2019_1101_1257,0.09212259
2019_1101_1261,0.08037759
2019_1101_1266,0.08019542
2019_1101_1268,0.09989885
2019_1101_1276,0.047021925
2019_1101_1277,0.08745099
2019_1101_1278,0.32706758
2019_1101_1279,0.13266443
2019_1101_1280,0.06385841
2019_1101_1285,0.48443878
2019_1101_1293,0.13818538
2019_1101_1295,0.77331555
2019_1101_1297,0.44408503
2019_1101_1300,0.9017768
2019_1101_1305,0.13444482
2019_1101_1308,0.10023033
2019_1101_1314,0.100058205
2019_1101_1318,0.4136918
2019_1101_1326,0.23619811
2019_1101_1328,0.24042001
2019_1101_1330,0.32775757
2019_1101_1332,0.13740474
2019_1101_1341,0.777641
2019_1101_1345,0.046163425
2019_1101_1371,0.23869671
2019_1101_1385,0.33083224
2019_1101_1387,0.4126739
2019_1101_1388,0.07686902
2019_1101_1393,0.18503384
2019_1101_1396,0.30566058
2019_1101_1397,0.085341476
2019_1101_1403,0.05215589
2019_1101_1414,0.13390662
2019_1101_1416,0.26642227
2019_1101_1429,0.17273974
2019_1101_1433,0.11995733
2019_1101_1436,0.2836653
2019_1101_1437,0.08102494
2019_1101_1438,0.03532044
2019_1101_1439,0.07520257
2019_1101_1449,0.15158151
2019_1101_1458,0.073616266
2019_1101_1459,0.05323552
2019_1101_1463,0.40471768
2019_1113_1120,0.07873766
2019_1113_1124,0.22233625
2019_1113_1125,0.3549469
2019_1113_1133,0.8463327
2019_1113_1138,0.13152798
2019_1113_1153,0.18990262
2019_1113_1159,0.685374
2019_1113_1181,0.0773189
2019_1113_1192,0.88704705
2019_1113_1196,0.17476611
2019_1113_1199,0.13466647
2019_1113_1205,0.88539684
2019_1113_1209,0.63959867
2019_1113_1211,0.108972386
2019_1113_1222,0.075468175
2019_1113_1233,0.9003074
2019_1113_1234,0.4872106
2019_1113_1235,0.13607481
2019_1113_1242,0.19737785
2019_1113_1243,0.20926079
2019_1113_1246,0.16120243
2019_1113_1251,0.31861618
2019_1113_1257,0.20558137
2019_1113_1261,0.13089152
2019_1113_1266,0.16462313
2019_1113_1268,0.19262712
2019_1113_1276,0.102011845
2019_1113_1277,0.13305679
2019_1113_1278,0.5700849
2019_1113_1279,0.24723682
2019_1113_1280,0.107225075
2019_1113_1285,0.65216917
2019_1113_1293,0.22122997
2019_1113_1295,0.84768844
2019_1113_1297,0.5925605
2019_1113_1300,0.9381071
2019_1113_1305,0.25500286
2019_1113_1308,0.20321131
2019_1113_1314,0.14009678
2019_1113_1318,0.54396224
2019_1113_1326,0.4485254
2019_1113_1328,0.44528878
2019_1113_1330,0.5511634
2019_1113_1332,0.2721928
2019_1113_1341,0.85817236
2019_1113_1345,0.08362505
2019_1113_1371,0.4367388
2019_1113_1385,0.50469565
2019_1113_1387,0.6594585
2019_1113_1388,0.1681471
2019_1113_1393,0.31615654
2019_1113_1396,0.47181985
2019_1113_1397,0.13298759
2019_1113_1403,0.10493679
2019_1113_1414,0.288555
2019_1113_1416,0.44505602
2019_1113_1429,0.3152105
2019_1113_1433,0.22241612
2019_1113_1436,0.5038051
2019_1113_1437,0.15199168
2019_1113_1438,0.06902325
2019_1113_1439,0.124144815
2019_1113_1449,0.27969396
2019_1113_1458,0.16814883
2019_1113_1459,0.096549496
2019_1113_1463,0.58517224
2019_1120_1124,0.74387354
2019_1120_1125,0.7691698
2019_1120_1133,0.96216005
2019_1120_1138,0.50350344
2019_1120_1153,0.69773006
2019_1120_1159,0.9334883
2019_1120_1181,0.40558863
2019_1120_1192,0.96125036
2019_1120_1196,0.6919615
2019_1120_1199,0.6301752
2019_1120_1205,0.9721931
2019_1120_1209,0.9343134
2019_1120_1211,0.35390013
2019_1120_1222,0.428468
2019_1120_1233,0.9695002
2019_1120_1234,0.89044243
2019_1120_1235,0.6728721
2019_1120_1242,0.74051845
2019_1120_1243,0.6976819
2019_1120_1246,0.63003635
2019_1120_1251,0.8056236
2019_1120_1257,0.7769477
2019_1120_1261,0.5817094
2019_1120_1266,0.7181404
2019_1120_1268,0.741148
2019_1120_1276,0.4395747
2019_1120_1277,0.5682207
2019_1120_1278,0.8877043
2019_1120_1279,0.8222078
2019_1120_1280,0.5833316
2019_1120_1285,0.93704224
2019_1120_1293,0.7076172
2019_1120_1295,0.96335983
2019_1120_1297,0.9231994
2019_1120_1300,0.9633649
2019_1120_1305,0.80905366
2019_1120_1308,0.657841
2019_1120_1314,0.5196117
2019_1120_1318,0.907735
2019_1120_1326,0.88471085
2019_1120_1328,0.8710087
2019_1120_1330,0.89242446
2019_1120_1332,0.8232382
2019_1120_1341,0.9488828
2019_1120_1345,0.4794311
2019_1120_1371,0.8932846
2019_1120_1385,0.9073146
2019_1120_1387,0.9136593
2019_1120_1388,0.6063084
2019_1120_1393,0.773745
2019_1120_1396,0.91006887
2019_1120_1397,0.560269
