Result,Seed,Pts,Pos,OffRtg,DefRtg,NetRtg,AstR,TOR,TSP,eFGP,FTAR,ORP,DRP,RP,OppSeed,OppPts,OppPos,OppOffRtg,OppDefRtg,OppNetRtg,OppAstR,OppTOR,OppTSP,OppeFGP,OppFTAR,OppORP,OppDRP,OppRP
1,2,,,,,,,,,,,,,,15,,,,,,,,,,,,,
1,3,,,,,,,,,,,,,,14,,,,,,,,,,,,,
1,2,,,,,,,,,,,,,,15,,,,,,,,,,,,,
1,7,,,,,,,,,,,,,,10,,,,,,,,,,,,,
1,10,,,,,,,,,,,,,,7,,,,,,,,,,,,,
1,4,,,,,,,,,,,,,,13,,,,,,,,,,,,,
1,5,,,,,,,,,,,,,,12,,,,,,,,,,,,,
1,4,,,,,,,,,,,,,,13,,,,,,,,,,,,,
1,9,,,,,,,,,,,,,,8,,,,,,,,,,,,,
1,2,,,,,,,,,,,,,,15,,,,,,,,,,,,,
1,9,,,,,,,,,,,,,,8,,,,,,,,,,,,,
1,1,,,,,,,,,,,,,,16,,,,,,,,,,,,,
1,1,,,,,,,,,,,,,,16,,,,,,,,,,,,,
1,7,,,,,,,,,,,,,,10,,,,,,,,,,,,,
1,6,,,,,,,,,,,,,,11,,,,,,,,,,,,,
1,12,,,,,,,,,,,,,,5,,,,,,,,,,,,,
1,9,,,,,,,,,,,,,,8,,,,,,,,,,,,,
1,6,,,,,,,,,,,,,,11,,,,,,,,,,,,,
1,12,,,,,,,,,,,,,,5,,,,,,,,,,,,,
1,2,,,,,,,,,,,,,,15,,,,,,,,,,,,,
1,3,,,,,,,,,,,,,,14,,,,,,,,,,,,,
1,16,,,,,,,,,,,,,,1,,,,,,,,,,,,,
1,3,,,,,,,,,,,,,,14,,,,,,,,,,,,,
1,4,,,,,,,,,,,,,,13,,,,,,,,,,,,,
1,3,,,,,,,,,,,,,,14,,,,,,,,,,,,,
1,10,,,,,,,,,,,,,,7,,,,,,,,,,,,,
1,4,,,,,,,,,,,,,,13,,,,,,,,,,,,,
1,5,,,,,,,,,,,,,,12,,,,,,,,,,,,,
