ID,Pred
2014_1107_1110,0.35006967
2014_1107_1112,0.04133773
2014_1107_1113,0.16172881
2014_1107_1124,0.08127985
2014_1107_1140,0.18639275
2014_1107_1142,0.41448775
2014_1107_1153,0.051662542
2014_1107_1157,0.48504382
2014_1107_1160,0.22444475
2014_1107_1163,0.06546194
2014_1107_1166,0.06679027
2014_1107_1173,0.114813015
2014_1107_1174,0.19025968
2014_1107_1181,0.027883358
2014_1107_1184,0.3634812
2014_1107_1196,0.0398536
2014_1107_1203,0.12334774
2014_1107_1211,0.07182276
2014_1107_1217,0.11297421
2014_1107_1234,0.10916781
2014_1107_1235,0.09075563
2014_1107_1242,0.06321105
2014_1107_1243,0.12786864
2014_1107_1246,0.06969053
2014_1107_1257,0.025703555
2014_1107_1264,0.1754395
2014_1107_1269,0.09623727
2014_1107_1272,0.10779899
2014_1107_1273,0.15642406
2014_1107_1276,0.054749824
2014_1107_1277,0.049241632
2014_1107_1291,0.4105005
2014_1107_1295,0.1733556
2014_1107_1300,0.18114091
2014_1107_1301,0.1645298
2014_1107_1304,0.23615234
2014_1107_1307,0.11754762
2014_1107_1308,0.15831317
2014_1107_1314,0.086020544
2014_1107_1326,0.08288859
2014_1107_1328,0.07194314
2014_1107_1329,0.11973025
2014_1107_1332,0.06798104
2014_1107_1338,0.08782604
2014_1107_1344,0.12267929
2014_1107_1361,0.057671465
2014_1107_1372,0.07704056
2014_1107_1386,0.18347538
2014_1107_1387,0.097287014
2014_1107_1390,0.17934684
2014_1107_1393,0.068296984
2014_1107_1397,0.08353869
2014_1107_1400,0.11745501
2014_1107_1409,0.2238723
2014_1107_1411,0.61952144
2014_1107_1417,0.093674645
2014_1107_1418,0.19503126
2014_1107_1433,0.04768015
2014_1107_1437,0.052135054
2014_1107_1438,0.063254125
2014_1107_1444,0.29721367
2014_1107_1451,0.4983236
2014_1107_1454,0.44447413
2014_1107_1455,0.042727053
2014_1107_1458,0.061454024
2014_1107_1459,0.38113376
2014_1107_1462,0.20432742
2014_1110_1112,0.05877541
2014_1110_1113,0.22777018
2014_1110_1124,0.136092
2014_1110_1140,0.27071258
2014_1110_1142,0.54789776
2014_1110_1153,0.09735257
2014_1110_1157,0.6083209
2014_1110_1160,0.28552207
2014_1110_1163,0.12643276
2014_1110_1166,0.09698913
2014_1110_1173,0.1602125
2014_1110_1174,0.26296297
2014_1110_1181,0.052895587
2014_1110_1184,0.5092476
2014_1110_1196,0.06491486
2014_1110_1203,0.21398938
2014_1110_1211,0.11153459
2014_1110_1217,0.17555183
2014_1110_1234,0.16756313
2014_1110_1235,0.13404079
2014_1110_1242,0.08612607
2014_1110_1243,0.23856875
2014_1110_1246,0.096268155
2014_1110_1257,0.05223911
2014_1110_1264,0.2762663
2014_1110_1269,0.16576026
2014_1110_1272,0.20328812
2014_1110_1273,0.22034612
2014_1110_1276,0.08940995
2014_1110_1277,0.074067384
2014_1110_1291,0.56089497
2014_1110_1295,0.22249517
2014_1110_1300,0.30418226
2014_1110_1301,0.2659602
2014_1110_1304,0.26946872
2014_1110_1307,0.16716157
2014_1110_1308,0.22390093
2014_1110_1314,0.1398243
2014_1110_1326,0.13104863
2014_1110_1328,0.11057736
2014_1110_1329,0.18975857
2014_1110_1332,0.1013537
2014_1110_1338,0.13279523
2014_1110_1344,0.17384724
2014_1110_1361,0.09148789
2014_1110_1372,0.108568795
2014_1110_1386,0.2828633
2014_1110_1387,0.14546318
2014_1110_1390,0.25388798
2014_1110_1393,0.10993892
2014_1110_1397,0.1164851
2014_1110_1400,0.17435244
2014_1110_1409,0.30388466
2014_1110_1411,0.7493527
2014_1110_1417,0.13354376
2014_1110_1418,0.2701318
2014_1110_1433,0.0811742
2014_1110_1437,0.07767791
2014_1110_1438,0.10717901
2014_1110_1444,0.4083831
2014_1110_1451,0.6141744
2014_1110_1454,0.56949264
2014_1110_1455,0.05887689
2014_1110_1458,0.08804236
2014_1110_1459,0.52543324
2014_1110_1462,0.32923946
2014_1112_1113,0.89369506
2014_1112_1124,0.73282474
2014_1112_1140,0.8840115
2014_1112_1142,0.9312826
2014_1112_1153,0.6372628
2014_1112_1157,0.94477224
2014_1112_1160,0.8566115
2014_1112_1163,0.7543208
2014_1112_1166,0.69507366
2014_1112_1173,0.86986876
2014_1112_1174,0.8938297
2014_1112_1181,0.49931288
2014_1112_1184,0.9415954
2014_1112_1196,0.5937821
